Genus	q25_percent	q50_percent	q75_percent
AF33-28	0.012	0.018	0.029
AM51-8	0.023	0.05	0.1
Absicoccus	0.052	0.134	0.33
Acetanaerobacterium	0.012	0.018	0.022
Acetatifactor	0.116	0.392	1.207
Acetitomaculum	0.019	0.035	0.047
Achromobacter	0.039	0.345	0.899
Acidaminococcus	0.061	0.144	0.59
Acinetobacter	0.021	0.058	1.224
Acutalibacter	0.02	0.033	0.058
Adlercreutzia	0.016	0.024	0.043
Aerococcus	0.026	0.039	0.048
Agathobacter	0.458	1.524	3.685
Agathobaculum	0.072	0.146	0.288
Akkermansia	0.117	0.612	2.592
Alistipes	0.825	1.883	3.592
Allisonella	0.018	0.034	0.057
Alloprevotella	0.198	1.436	3.169
Alloscardovia	0.03	0.063	0.08
Alterileibacterium	0.015	0.041	0.058
Amedibacillus	0.015	0.029	0.057
Anaerobutyricum	0.161	0.289	0.503
Anaerococcus	0.02	0.039	0.121
Anaerofilum	0.014	0.021	0.035
Anaeromassilibacillus	0.02	0.031	0.055
Anaerostipes	0.197	0.408	0.805
Anaerotignum	0.051	0.101	0.222
Anaerotruncus	0.025	0.047	0.08
Angelakisella	0.066	0.198	0.474
Aphodomorpha	0.029	0.096	0.355
Avispirillum	0.033	0.079	0.182
Azonexus	0.023	0.032	0.066
BICA1-8	0.013	0.021	0.034
BX12	0.013	0.021	0.028
Bacillus	0.068	0.171	0.356
Bacteroides	4.253	8.203	15.804
Bariatricus	0.077	0.14	0.285
Barnesiella	0.203	0.497	1.069
Bifidobacterium	0.152	0.421	1.135
Bilophila	0.061	0.127	0.263
Bittarella	0.011	0.017	0.028
Blautia	1.223	2.168	3.441
Borkfalkia	0.023	0.046	0.105
Brevibacterium	0.022	0.054	0.111
Brevundimonas	0.073	0.216	2.299
Bulleidia	0.016	0.032	0.18
Butyribacter	0.06	0.157	0.351
Butyricimonas	0.054	0.116	0.224
Butyrivibrio	0.099	0.389	1.38
C-53	0.019	0.103	0.189
CABJAA01	0.051	0.102	0.208
CAG-1000	0.119	0.268	0.65
CAG-1024	0.014	0.021	0.043
CAG-1031	0.096	0.249	1.363
CAG-127	0.059	0.271	1.092
CAG-1427	0.025	0.051	0.097
CAG-177	0.099	0.386	0.931
CAG-194	0.027	0.045	0.086
CAG-196	0.032	0.078	0.227
CAG-217	0.058	0.134	0.246
CAG-238	0.022	0.041	0.08
CAG-267	0.094	0.37	0.867
CAG-269	0.361	0.86	1.881
CAG-273	0.248	0.639	1.658
CAG-274	0.042	0.085	0.186
CAG-302	0.093	0.218	0.557
CAG-307	0.077	0.151	0.637
CAG-313	0.034	0.103	0.313
CAG-314	0.029	0.097	0.261
CAG-317	0.013	0.024	0.046
CAG-345	0.023	0.028	0.06
CAG-349	0.097	0.226	0.535
CAG-353	0.122	0.456	1.206
CAG-41	0.068	0.146	0.305
CAG-417	0.091	0.189	0.645
CAG-45	0.027	0.084	0.221
CAG-475	0.053	0.165	0.526
CAG-485	0.041	0.103	0.398
CAG-488	0.045	0.096	0.181
CAG-510	0.115	0.394	2.438
CAG-533	0.135	0.361	0.742
CAG-603	0.121	0.423	1.192
CAG-605	0.071	0.271	0.599
CAG-628	0.145	0.299	0.864
CAG-632	0.138	0.208	0.446
CAG-710	0.025	0.061	0.161
CAG-793	0.077	0.21	0.418
CAG-914	0.408	0.678	1.358
CAG-95	0.024	0.047	0.129
CAJLXD01	0.068	0.199	0.621
COE1	0.057	0.199	0.607
Caccousia	0.016	0.025	0.048
Campylobacter	0.021	0.042	0.084
Caproicibacterium	0.018	0.036	0.113
Caproiciproducens	0.014	0.022	0.031
Catenibacillus	0.013	0.021	0.039
Catenibacterium	0.161	0.502	1.364
Catonella	0.012	0.014	0.022
Cellulosimicrobium	0.046	0.071	0.157
Choladousia	0.012	0.019	0.027
Christensenella	0.012	0.017	0.032
Cloacibacillus	0.021	0.041	0.089
Cloacibacterium	0.028	0.049	0.078
Clostridium	0.173	0.344	0.706
Collinsella	0.058	0.116	0.237
Comamonas	0.43	2.774	13.048
Coprobacillus	0.043	0.122	0.322
Coprobacter	0.037	0.068	0.142
Coprococcus	0.166	0.525	1.524
Copromonas	0.104	0.232	0.41
Copromorpha	0.022	0.036	0.068
Coprosoma	0.02	0.034	0.075
Corynebacterium	0.035	0.118	0.374
Cryptobacteroides	0.124	0.484	1.598
Cytobacillus	0.047	0.111	0.987
DTU014	0.016	0.024	0.041
Deinococcus	0.025	0.037	0.046
Desulfovibrio	0.078	0.204	0.535
Dialister	0.137	0.701	2.014
Dielma	0.017	0.029	0.072
Dorea	0.224	0.402	0.704
Duncaniella	0.116	0.47	0.922
Duodenibacillus	0.057	0.161	0.426
Dysosmobacter	0.205	0.397	0.695
ER4	0.547	1.013	1.621
Eggerthella	0.016	0.029	0.053
Eisenbergiella	0.067	0.156	0.372
Ellagibacter	0.036	0.062	0.105
Emergencia	0.018	0.036	0.076
Enterenecus	0.016	0.03	0.059
Enterocloster	0.078	0.156	0.317
Enterococcus	0.029	0.058	0.199
Eremococcus	0.023	0.049	0.09
Erysipelatoclostridium	0.025	0.048	0.116
Eubacterium	0.298	0.605	1.088
Evtepia	0.023	0.04	0.077
Ezakiella	0.021	0.043	0.121
Facklamia	0.013	0.033	0.077
Faecalibacillus	0.135	0.309	0.606
Faecalibacterium	3.09	6.415	10.386
Faecalimonas	0.031	0.137	0.505
Faecalitalea	0.022	0.034	0.062
Faecimonas	0.052	0.128	0.635
Faecisoma	0.049	0.077	0.165
Faecousia	0.209	0.534	1.101
Fenollaria	0.03	0.077	0.214
Fimenecus	0.248	0.759	2.156
Fimivivens	0.02	0.033	0.061
Finegoldia	0.021	0.042	0.125
Frisingicoccus	0.029	0.069	0.113
Fusicatenibacter	0.215	0.427	0.851
Fusobacterium	0.025	0.047	0.134
G11	0.047	0.128	0.413
GCA-900066905	0.01	0.013	0.015
Gabonibacter	0.029	0.051	0.099
Gallalistipes	0.023	0.03	0.051
Gemella	0.014	0.034	0.127
Gemmiger	0.716	1.445	2.775
Geobacillus	0.014	0.021	0.044
Gordonibacter	0.013	0.016	0.026
Granulicatella	0.011	0.019	0.042
Gulosibacter	0.023	0.051	0.138
HGM16780	0.046	0.244	0.455
Haemophilus	0.029	0.086	0.218
Hafnia	0.062	0.278	2.33
Harryflintia	0.011	0.014	0.017
Holdemanella	0.127	0.33	0.721
Holdemania	0.018	0.032	0.061
Howardella	0.025	0.044	0.063
Hungatella	0.015	0.035	0.102
Hydrogeniiclostridium	0.014	0.023	0.036
Hydrogenoanaerobacterium	0.01	0.015	0.032
Intestinibacter	0.036	0.099	0.223
Intestinimonas	0.02	0.042	0.105
JC017	0.015	0.03	0.049
KA00134	0.018	0.04	0.094
Lachnoclostridium	0.021	0.035	0.059
Lachnospira	0.456	1.156	2.321
Lactobacillus	0.025	0.072	0.247
Lactococcus	0.019	0.044	0.092
Lactonifactor	0.008	0.013	0.02
Latilactobacillus	0.016	0.057	0.214
Lawsonella	0.015	0.029	0.051
Lawsonibacter	0.095	0.17	0.323
Lentilactobacillus	0.016	0.04	0.158
Leuconostoc	0.013	0.03	0.071
Levilactobacillus	0.071	0.163	0.204
Ligilactobacillus	0.05	0.109	0.734
Limenecus	0.03	0.058	0.115
Limiplasma	0.032	0.066	0.135
Limisoma	0.345	0.747	1.705
Limivicinus	0.231	0.695	1.585
Limivivens	0.035	0.066	0.122
Limosilactobacillus	0.018	0.071	0.193
Longibaculum	0.032	0.05	0.32
Longicatena	0.026	0.059	0.131
Lysinibacillus	0.067	0.183	6.177
MARSEILLE-P3954	0.015	0.025	0.038
Mailhella	0.024	0.047	0.088
Marvinbryantia	0.025	0.052	0.091
Massilioclostridium	0.012	0.018	0.028
Massilistercora	0.014	0.023	0.092
Mediterraneibacter	0.154	0.341	0.693
Megamonas	0.082	0.204	0.771
Megasphaera	0.028	0.173	0.714
Merdibacter	0.024	0.046	0.089
Merdicola	0.145	0.492	1.29
Merdimonas	0.009	0.024	0.056
Merdisoma	0.03	0.061	0.113
Merdousia	0.021	0.032	0.082
Mesosutterella	0.038	0.083	0.197
Methanobrevibacter	0.044	0.105	0.161
Methanomassiliicoccus	0.017	0.031	0.053
Methanosphaera	0.036	0.07	0.105
Mitsuokella	0.048	0.159	0.215
Mobiluncus	0.013	0.029	0.098
Monoglobus	0.023	0.052	0.131
Murdochiella	0.019	0.036	0.074
Muribaculum	0.064	0.184	0.552
Muricomes	0.014	0.024	0.048
Negativibacillus	0.03	0.067	0.129
Negativicoccus	0.013	0.019	0.044
Neisseria	0.012	0.015	0.034
Neobacillus	0.018	0.061	0.177
Oceanobacillus	0.032	0.049	0.083
Odoribacter	0.071	0.141	0.257
Oliverpabstia	0.049	0.087	0.183
Olsenella	0.022	0.036	0.064
Onthenecus	0.102	0.216	0.384
Onthocola	0.094	0.265	0.553
Onthomonas	0.03	0.056	0.106
Orbus	0.029	0.117	0.35
Oribacterium	0.008	0.014	0.038
Oscillibacter	0.011	0.016	0.028
Other	0.615	1.336	2.602
Oxalobacter	0.027	0.049	0.09
Paenibacillus	0.033	0.051	0.21
Paludicola	0.025	0.042	0.083
Parabacteroides	0.747	1.372	2.558
Paralachnospira	0.013	0.016	0.025
Paraprevotella	0.487	1.493	2.597
Parasutterella	0.041	0.124	0.437
Parvimonas	0.029	0.049	0.129
Pauljensenia	0.014	0.021	0.041
PeH17	0.111	0.314	0.916
Pediococcus	0.071	0.143	0.333
Peptococcus	0.035	0.061	0.129
Peptoniphilus	0.022	0.05	0.133
Peptostreptococcus	0.015	0.031	0.067
Petroclostridium	0.016	0.028	0.054
Phascolarctobacterium	0.224	0.64	1.326
Phocaeicola	4.596	9.954	18.786
Phocea	0.029	0.055	0.097
Porcincola	0.054	0.111	0.212
Porphyromonas	0.022	0.055	0.144
Pradoshia	0.064	0.209	0.828
Prevotella	0.076	0.643	8.767
Proteus	0.02	0.048	0.158
Pseudobutyricicoccus	0.016	0.027	0.04
Pseudoflavonifractor	0.014	0.025	0.038
Pseudoglutamicibacter	0.014	0.034	0.191
Pseudoruminococcus	0.059	0.299	0.797
Pseudoxanthomonas	0.029	0.041	0.088
Pygmaiobacter	0.084	0.172	0.314
QAKW01	0.018	0.027	0.055
QALA01	0.033	0.068	0.136
QALR01	0.051	0.1	0.216
QAMH01	0.017	0.027	0.044
QAMM01	0.02	0.03	0.055
RUG115	0.043	0.15	0.445
RUG12438	0.035	0.08	0.159
RUG13038	0.066	0.166	0.367
RUG13077	0.042	0.104	0.239
RUG131	0.032	0.073	0.161
RUG472	0.036	0.082	0.354
RUG705	0.053	0.18	0.433
RUG762	0.014	0.022	0.035
Rhodococcus	0.035	0.09	0.25
Romboutsia	0.084	0.194	0.4
Roseburia	0.104	0.35	0.789
Rothia	0.014	0.017	0.035
Ructibacterium	0.02	0.043	0.073
Ruminiclostridium	0.083	0.353	1.24
Ruminococcus	0.45	1.11	2.489
Ruthenibacterium	0.031	0.059	0.145
S5-A14a	0.015	0.026	0.055
SFEL01	0.069	0.175	0.564
SFLA01	0.033	0.078	0.149
SFMI01	0.197	0.863	3.13
Scatocola	0.042	0.104	0.336
Scatomonas	0.011	0.014	0.027
Scatoplasma	0.019	0.037	0.072
Schaedlerella	0.016	0.029	0.068
Scybalousia	0.038	0.075	0.157
Sellimonas	0.023	0.042	0.084
Senegalimassilia	0.026	0.048	0.089
Shinella	0.038	0.075	0.172
Shouchella	0.039	0.055	0.138
Slackia	0.022	0.039	0.068
Soleaferrea	0.011	0.017	0.03
Solibaculum	0.013	0.018	0.027
Sphingobium	0.04	0.098	0.207
Sphingopyxis	0.133	0.363	1.117
Staphylococcus	0.025	0.054	0.166
Stenotrophomonas	0.027	0.06	0.945
Stercorousia	0.047	0.092	0.297
Streptococcus	0.039	0.088	0.193
Streptomyces	0.096	0.383	2.117
Succinivibrio	0.539	2.369	5.581
Sutterella	0.082	0.214	0.625
Terrisporobacter	0.036	0.075	0.174
Tetragenococcus	0.03	0.036	0.05
Thermophilibacter	0.029	0.05	0.085
Thermus	0.02	0.043	0.073
Tidjanibacter	0.057	0.22	0.826
Traorella	0.02	0.035	0.064
Turicibacter	0.03	0.057	0.117
Turicimonas	0.027	0.037	0.049
UBA11452	0.028	0.051	0.099
UBA11471	0.049	0.113	0.216
UBA1259	0.022	0.049	0.118
UBA1394	0.108	0.295	0.653
UBA1417	0.03	0.056	0.12
UBA1732	0.037	0.07	0.183
UBA1822	0.549	1.447	1.732
UBA2253	0.042	0.054	0.112
UBA2658	0.014	0.025	0.048
UBA2730	0.015	0.029	0.046
UBA2813	0.023	0.081	0.154
UBA3263	0.036	0.39	0.681
UBA3402	0.041	0.072	0.129
UBA3789	0.131	0.36	1.312
UBA5026	0.026	0.046	0.109
UBA5905	0.037	0.072	0.148
UBA6382	0.101	0.156	0.302
UBA644	0.02	0.044	0.081
UBA6448	0.084	0.26	0.69
UBA6984	0.022	0.044	0.166
UBA6985	0.026	0.059	0.116
UBA71	0.029	0.061	0.2
UBA7173	0.038	0.11	0.902
UBA737	0.03	0.081	0.2
UMGS1071	0.032	0.071	0.143
UMGS1375	0.062	0.134	0.306
UMGS1449	0.052	0.107	0.243
UMGS1994	0.092	0.243	0.543
UMGS872	0.041	0.124	0.336
VUNA01	0.055	0.07	0.096
VUNI01	0.047	0.163	0.469
Varibaculum	0.018	0.032	0.066
Veillonella	0.021	0.045	0.118
Ventrimonas	0.06	0.12	0.236
Ventrisoma	0.014	0.022	0.044
Vescimonas	0.35	0.998	2.193
Victivallis	0.022	0.044	0.089
WQUU01	0.016	0.029	0.054
WRAI01	0.015	0.023	0.035
WRMH01	0.012	0.02	0.033
Weissella	0.019	0.028	0.071
Winkia	0.024	0.029	0.055
Xylanivirga	0.018	0.036	0.053
Zag111	0.068	0.164	0.794
unclassified Acutalibacteraceae	0.013	0.023	0.033
unclassified Anaerotignaceae	0.013	0.016	0.027
unclassified Anaerovoracaceae	0.014	0.021	0.04
unclassified Anoxybacillaceae	0.025	0.054	0.104
unclassified Bacteroidaceae	0.21	0.343	0.669
unclassified Burkholderiaceae	0.026	0.033	0.061
unclassified CAG-138	0.01	0.017	0.031
unclassified CAG-239	0.026	0.042	0.088
