#OTU ID	d__Bacteria;p__Firmicutes_D	d__Bacteria;p__Firmicutes_C	d__Bacteria;p__Actinobacteriota	d__Bacteria;p__Bacteroidota	d__Bacteria;p__Firmicutes_A	d__Bacteria;p__Fusobacteriota	d__Bacteria;p__Firmicutes_B_370539	d__Bacteria;p__Proteobacteria	d__Archaea;p__Thermoplasmatota	d__Bacteria;p__Deinococcota	d__Bacteria;p__Desulfobacterota_I	d__Bacteria;p__Verrucomicrobiota	d__Bacteria;p__Firmicutes_G	d__Bacteria;p__Cyanobacteria	d__Bacteria;__	d__Archaea;p__Methanobacteriota_A_1229	d__Bacteria;p__Campylobacterota	d__Bacteria;p__Synergistota
ERR1233441	0.011673910620751142	0.024508711319142614	0.022446971	0.4795683346335302	0.41271035328206845	0	0.00238679	0.019586537	0	0	0.007169657	0.019289349530071696	0.00013002	0	3.714848248449051e-05	0	0.000492217	0
ERR1315836	0.02104642	0.000196696	0.2440991345397325	0.025963808025177025	0.7079071597167584	0	0	0.000393391	0	0	0	0	0	0	0	0.000393391	0	0
ERR1315997	0.018852459016393444	0.008060109	0.01557377	0.4569672131147541	0.4155737704918033	0	0	0.080737705	0	0	0.001775956	0.00204918	0	0	0.000409836	0	0	0
ERR1316062	0.06539902	0.005762028	0.004321521	0.1696917314894843	0.7242869490060502	0	0.001728608	0.015557476231633534	0	0	0.001728608	0.011524056467876692	0	0	0	0	0	0
ERR1316179	0.010539258738802038	0.084489724	0.083787107	0.15545406639733006	0.6263832777094678	0	0	0.002283506	0	0	0.002810469	0.033023011	0	0	0.00122958	0	0	0
ERR1389645	0.006904623	0.00140433	0.00140433	0.643826799	0.30719719133996487	0	0.001170275	0.029139847864248097	0	0	0.00140433	0.00514921	0	0.001521358	0	0.000702165	0.000175541	0
ERR1389647	0.094226111	0.005000391	0.002890851	0.336979452	0.5338698335807485	0	0.002578326	0.007344324	0	0	0.008672553	0.005312915	0	0.002734589	0	0.000390656	0	0
ERR1389653	0.054405422	0.002218115	0.043499692	0.25329636475662354	0.6431300061614295	0	0	0.000369686	0	0	0.0004313	0.001786815	0.000677757	0.000184843	0	0	0	0
ERR1389691	0.006041816	0.084346927	0.015422529612846809	0.4738055489307576	0.28849670085062407	0	0.000238493	0.004769855	0	0	0.005167342	0.12051832419111218	0	0	0	0.001192464	0	0
ERR1389697	0.075428571	0.003714286	0.00152381	0.37104761904761907	0.32485714285714284	0	0	0.2215238095238095	0	0	0.000952381	0.000952381	0	0	0	0	0	0
ERR1389712	0.067176821	0.023482680063087798	0.00706817	0.21917168058881945	0.6009112681815527	0.000116829	0	0.078684503	0	0	0.003212804	0	0	0	0	0.000175244	0	0
ERR1389729	0.17246934574420478	0.009039649	0.009755661	0.3831558220710642	0.3461917121632507	0	0.000358006	0.042065694	0	0	0.002237537	0.03454757	0.000179003	0	0	0	0	0
ERR1389767	0.032282122	0.010334540805454933	0.002237375	0.4668655444278713	0.3850415512465374	0	0.003622416	0.014702748774770935	0	0	0.000426167	0.082782868	0	0.0012785	0.000213083	0	0.000213083	0
