#OTU ID	d__Bacteria;p__Firmicutes_D	d__Bacteria;p__Proteobacteria	d__Bacteria;p__Bacteroidota	d__Bacteria;p__Actinobacteriota	d__Bacteria;p__Firmicutes_A	d__Bacteria;p__Deinococcota	d__Bacteria;p__Verrucomicrobiota	d__Bacteria;p__Firmicutes_B_370539	d__Bacteria;p__Firmicutes_C	d__Bacteria;p__Campylobacterota	d__Bacteria;p__Desulfobacterota_I	d__Bacteria;p__Cyanobacteria	d__Bacteria;__	d__Bacteria;p__Firmicutes_G	d__Bacteria;p__Fusobacteriota	d__Archaea;p__Thermoplasmatota	d__Archaea;p__Methanobacteriota_A_1229	d__Bacteria;p__Synergistota
ERR10360105	0.003316714	0.013159169960048674	0.47317015388260125	0.003855141	0.39617501049933773	0	0.10331348330336086	0.000129223	0.002799823	0	0.002509073	0	0.000581502	0.000990707	0	0	0	0
ERR10360134	0.077758375	0.001578502	0.4012597512525069	0.004621121	0.4700275284626002	0	0.030532954	0.000388906	0.001357359	0.00031265	0.011781571943844986	0.000152512	0.000228768	0	0	0	0	0
ERR10360195	0.046855251	0.043745892	0.060910561706860815	0.000922696	0.5810455533646797	0	0.008468578	0.000113757	0.002591132	0	0.001036453	0.25431012690227006	0	0	0	0	0	0
ERR10360218	0.008372405	0.029824365557788196	0.6454565751283768	0.019256530475552577	0.29190853613157697	0	6.511870209124061e-05	0	0.005032745	0	8.372404554588077e-05	0	0	0	0	0	0	0
ERR10360243	0.008860432	0.013538567671280128	0.5473310912775406	0.001110249	0.4080218169275212	0	0.006607597	0.000948562	0.001864787	3.233734316388565e-05	0.001271935	0.009830552	4.311645755184754e-05	0.000538956	0	0	0	0
ERR10360251	0.003796825	0.01580228	0.31607233576056826	0.062799134	0.4987031969981907	0	0.00094475	0.001024965	0.002308398	0	0.000802146	0.097425111	4.456367703811977e-05	0.000276295	0	0	0	0
ERR1073490	0.006214435	0.042228212039532795	0.556266846	0.001946691	0.36919736448038337	0	0.004117999	0.002246181	0.009059599	7.487271638215035e-05	0.005727763	0.002433363	0.000486673	0	0	0	0	0
ERR1074894	0.011231117011733467	0.020919301015465214	0.4036743334888227	0.001184111	0.5445118231727009	0	0.003552334	0.000645879	0.00929348	0	0.003731745	0.001255876	0	0	0	0	0	0
ERR1076851	0.005935148	0.058338158656629995	0.743341054	0.006369427	0.16488129704690213	0	0	0	0.021134916	0	0	0	0	0	0	0	0	0
ERR1076919	0.032357473035439135	0.10785824345146379	0.2674560051901711	0.012245559970805288	0.5704322439380424	0	0.000810964	0.002432893	0.004135918	0	0.001054254	0.000243289	0.000973157	0	0	0	0	0
